version,num_buckets,mean,median,p95,p99,max,runtime_sec,labelled_pair_survival
baseline,210099,1.8277097939542788,1.0,4.0,9.0,954,19.49510890000238,0.37
mitigated,71278,5.387356547602346,1.0,13.0,74.0,2593,21.26431919999959,0.5722222222222222
